tipo,quartos,title
,2,"Casa em Blumenau - Venda - casas e apartamentos - Itoupava Central, Blumenau | OLX"
,,"Vendo Belo Sítio - Terrenos, sítios e fazendas - Vila Nova, Blumenau | OLX"
,,"Casas pré moldadas 800m2 com laje. - Lançamentos - Testo Salto, Blumenau | OLX"
,3,"Edifício La Spezia - Blumenau (Oportunidade) - Venda - casas e apartamentos - Itoupava Seca, Blumenau | OLX"
,,"Belissimo sitio rustico único com antiguidades Blumenau SC - Terrenos, sítios e fazendas - Gaspar, Santa Catarina | OLX"
,2,"Oktoberfest Blumenau - Aluguel - casas e apartamentos - Victor Konder, Blumenau | OLX"
,1,"Alugo apartamento mobiliado 1 quarto - Aluguel - casas e apartamentos - Centro, Blumenau | OLX"
,2,"Apartamento na planta - Venda - casas e apartamentos - Timbó, Santa Catarina | OLX"
,3,"Casa alto padrão - Venda - casas e apartamentos - Salto, Blumenau | OLX"
,2,"Apartamento semi mobiliado Residencial Missner próximo FURB - Venda - casas e apartamentos - Itoupava Seca, Blumenau | OLX"
,2,"Apartamento, Itoupavazinha, Blumenau-SC - Venda - casas e apartamentos - Itoupavazinha, Blumenau | OLX"
,3,"Apartamento, Velha, Blumenau-SC - Venda - casas e apartamentos - Água Verde, Blumenau | OLX"
,3,"Bonita casa - Venda - casas e apartamentos - Steffen, Brusque | OLX"
,,"Aceito carro como parte do pagamento - Terrenos, sítios e fazendas - Glória, Blumenau | OLX"
,,"Terreno localizado no bairro Foraleza - Blumenau - Terrenos, sítios e fazendas - Fortaleza, Blumenau | OLX"
,3,"Casa Mista Averbada em Blumenau - Venda - casas e apartamentos - Água Verde, Blumenau | OLX"
,3,"Ohtoberfest blumenau 2017 - Temporada - Água Verde, Blumenau | OLX"
,2,"Vende-se - Venda - casas e apartamentos - Itoupava Central, Blumenau | OLX"
,3,"Lindo Apartamento Praticamente no Centro de Blumenau - Venda - casas e apartamentos - Ribeirão Fresco, Blumenau | OLX"
,3,"Apartamento frente mar - Venda - casas e apartamentos - Navegantes, Santa Catarina | OLX"
,5 ou mais,"Oktoberfest mansão em Blumenau - Temporada - Água Verde, Blumenau | OLX"
,2,"Casas geminadas alto padrão - Blumenau - SC - Venda - casas e apartamentos - Passo Manso, Blumenau | OLX"
,2,"LIndo Apartamento Em Excelente Localização na Vila Nova - Venda - casas e apartamentos - Vila Nova, Blumenau | OLX"
,,"Terreno Itoupava Central - Blumenau - Terrenos, sítios e fazendas - Saguaçu, Joinville | OLX"
,3,"Casa Bonita - Venda - casas e apartamentos - Steffen, Brusque | OLX"
,2,"Apartamento Alto Padrão em Blumenau (2 quartos, sacada, piscina, academia) - Venda - casas e apartamentos - Itoupava Central, Blumenau | OLX"
,2,"Apto Centro - DIRETO C/ PROPRIETÁRIO - Venda - casas e apartamentos - Vila Nova, Blumenau | OLX"
,3,"Casa para fins comerciais/residenciais - Aluguel - casas e apartamentos - Valparaiso, Blumenau | OLX"
,2,"Aluga-se apartamento testo salto blumenau - Aluguel - casas e apartamentos - Badenfurt, Blumenau | OLX"
,,"Terreno Blumenau/Fortaleza Alta - Terrenos, sítios e fazendas - Fortaleza Alta, Blumenau | OLX"
,2,"Apartamento - Venda - casas e apartamentos - Água Verde, Blumenau | OLX"
,2,"Apartamento 2 quartos bairro fortaleza - Blumenau - Venda - casas e apartamentos - Fortaleza, Blumenau | OLX"
,,"Sítio em Gaspar (SC) 32000m2 - Terrenos, sítios e fazendas - Gaspar, Santa Catarina | OLX"
,2,"Casa Mista em Blumenau-SC, localizada no bairro da Gloria - Venda - casas e apartamentos - Glória, Blumenau | OLX"
,3,"Casa + 3 terreno no Gravata Navegantes - Venda - casas e apartamentos - Navegantes, Santa Catarina | OLX"
